"ts","value"
"1523784600000","0.9"
"1551488400000","2.1"
"1540666800000","0.0"
"1562335200000","0.0"
"1543996800000","0.0"
"1533981600000","0.0"
"1555468200000","0.9"
"1552138200000","0.0"
"1534606200000","0.0"
"1541473200000","2.1"
"1516449600000","0.0"
"1527921000000","0.0"
"1552294800000","0.3"
"1563141600000","0.0"
"1544803200000","0.0"
"1524591000000","0.0"
"1546259400000","4.5"
"1563766200000","0.0"
"1534788000000","0.0"
"1523941200000","0.0"
"1556274600000","0.0"
"1535412600000","0.0"
"1552944600000","0.0"
"1549875600000","0.0"
"1539054000000","0.0"
"1532993400000","0.0"
"1561347000000","0.0"
"1521522000000","0.0"
"1532368800000","0.0"
"1567407600000","0.0"
"1515486600000","0.0"
"1543840200000","0.0"
"1570737600000","0.0"
"1526308200000","3.9"
"1550525400000","2.1"
"1550682000000","0.0"
"1522978200000","3.0"
"1533799800000","0.0"
"1539860400000","0.0"
"1543190400000","0.0"
"1533175200000","0.0"
"1554661800000","0.0"
"1544646600000","0.0"
"1568214000000","0.0"
"1527114600000","0.0"
"1551331800000","0.0"
"1571544000000","0.0"
"1555363800000","0.0"
"1519909200000","0.0"
"1527010200000","0.0"
"1530340200000","0.0"
"1537441200000","0.0"
"1559109600000","0.0"
"1541577600000","0.0"
"1537831800000","3.6"
"1530756000000","0.0"
"1520325000000","0.0"
"1548262800000","0.0"
"1549069200000","0.0"
"1556170200000","0.6"
"1520715600000","0.0"
"1527816600000","0.0"
"1538247600000","0.0"
"1531146600000","0.0"
"1559916000000","0.0"
"1548678600000","0.0"
"1566601200000","0.6"
"1569931200000","0.0"
"1538638200000","0.6"
"1559500200000","0.0"
"1531562400000","3.6"
"1528727400000","0.0"
"1535828400000","2.1"
"1525397400000","0.0"
"1547065800000","0.0"
"1564572600000","0.0"
"1539964800000","0.0"
"1557081000000","0.0"
"1536219000000","0.0"
"1529143200000","0.0"
"1553751000000","0.0"
"1564182000000","1.2"
"1558303200000","0.0"
"1529533800000","0.0"
"1536634800000","0.0"
"1547872200000","0.0"
"1565379000000","0.0"
"1540771200000","0.0"
"1519518600000","2.1"
"1529949600000","0.3"
"1547456400000","0.0"
"1554557400000","0.0"
"1537025400000","0.0"
"1533565800000","3.6"
"1528155000000","0.0"
"1516683600000","0.0"
"1522744200000","0.0"
"1545037200000","0.0"
"1539626400000","0.0"
"1534215600000","0.3"
"1567980000000","0.0"
"1562569200000","0.0"
"1551097800000","0.0"
"1556508600000","0.0"
"1550448000000","0.0"
"1534372200000","3.3"
"1528961400000","3.9"
"1517490000000","0.0"
"1545843600000","0.0"
"1523550600000","0.0"
"1535022000000","0.0"
"1540432800000","1.5"
"1546493400000","1.2"
"1551904200000","0.0"
"1551254400000","0.0"
"1563375600000","0.0"
"1557315000000","0.0"
"1526542200000","0.0"
"1543424400000","0.0"
"1520481600000","0.3"
"1538013600000","0.0"
"1531953000000","0.0"
"1544880600000","1.8"
"1549485000000","0.0"
"1554895800000","0.6"
"1571778000000","0.3"
"1533409200000","2.1"
"1548835200000","0.0"
"1560306600000","0.0"
"1566367200000","0.0"
"1532759400000","0.0"
"1527348600000","1.5"
"1544230800000","0.0"
"1521288000000","0.9"
"1538820000000","0.0"
"1555702200000","0.0"
"1550291400000","0.0"
"1549641600000","0.0"
"1561113000000","0.0"
"1567173600000","0.0"
"1531380600000","0.0"
"1536791400000","1.2"
"1520559000000","1.2"
"1560150000000","0.0"
"1565145000000","0.0"
"1541811600000","0.0"
"1531796400000","0.3"
"1548912600000","0.0"
"1559734200000","0.3"
"1547222400000","3.6"
"1554323400000","0.0"
"1570165200000","0.0"
"1526776200000","0.0"
"1532187000000","0.0"
"1537207200000","0.0"
"1570971600000","0.0"
"1532602800000","0.0"
"1549719000000","0.0"
"1548028800000","0.3"
"1560540600000","0.0"
"1537597800000","0.3"
"1555129800000","0.0"
"1529767800000","0.0"
"1535178600000","0.6"
"1524357000000","0.0"
"1558537200000","0.0"
"1563532200000","0.0"
"1545609600000","0.3"
"1540198800000","1.2"
"1530183600000","0.0"
"1547299800000","0.0"
"1552710600000","0.0"
"1535594400000","0.0"
"1530574200000","2.1"
"1519752600000","0.0"
"1525163400000","0.0"
"1535985000000","0.0"
"1559343600000","0.0"
"1564338600000","0.0"
"1541005200000","0.0"
"1530990000000","0.0"
"1548106200000","0.0"
"1536400800000","0.0"
"1563948000000","0.0"
"1553517000000","0.0"
"1546077600000","0.0"
"1543372200000","0.0"
"1529195400000","0.9"
"1531900800000","0.3"
"1515018600000","0.0"
"1550863800000","2.4"
"1517724000000","0.0"
"1552762800000","0.0"
"1539392400000","1.5"
"1536687000000","0.0"
"1525215600000","0.0"
"1566939600000","0.0"
"1557549000000","0.0"
"1522510200000","0.0"
"1544178600000","0.0"
"1530001800000","0.9"
"1532707200000","0.0"
"1553569200000","0.0"
"1537493400000","0.0"
"1523316600000","0.0"
"1526022000000","0.0"
"1565040600000","0.0"
"1567746000000","0.0"
"1530288000000","0.0"
"1544464800000","0.0"
"1541759400000","0.0"
"1549251000000","0.0"
"1527582600000","0.0"
"1537779600000","0.0"
"1535074200000","0.0"
"1570113000000","1.8"
"1555936200000","3.3"
"1558641600000","0.0"
"1545271200000","0.0"
"1542565800000","0.0"
"1531094400000","0.0"
"1564234200000","0.0"
"1559448000000","0.0"
"1516917600000","0.0"
"1528389000000","0.6"
"1550057400000","0.0"
"1538586000000","1.5"
"1535880600000","0.0"
"1524409200000","0.0"
"1556742600000","0.0"
"1566133200000","0.0"
"1546597800000","0.0"
"1560774600000","0.0"
"1524929400000","0.0"
"1550343600000","0.0"
"1539106200000","0.0"
"1528675200000","0.0"
"1553283000000","0.0"
"1536166800000","0.0"
"1571205600000","0.0"
"1532421000000","0.0"
"1557028800000","0.0"
"1521990000000","0.0"
"1561581000000","0.9"
"1529481600000","0.0"
"1543658400000","1.2"
"1547404200000","0.0"
"1539912600000","0.0"
"1551150000000","0.0"
"1536973200000","3.6"
"1519050600000","0.0"
"1572012000000","0.0"
"1554089400000","0.0"
"1557835200000","0.0"
"1533227400000","2.4"
"1568266200000","3.9"
"1522796400000","0.0"
"1527062400000","0.0"
"1530808200000","0.0"
"1548730800000","0.0"
"1541239200000","0.0"
"1562907600000","0.0"
"1551670200000","0.0"
"1520377200000","1.2"
"1524123000000","0.0"
"1565847000000","0.0"
"1534554000000","0.0"
"1555416000000","0.0"
"1527868800000","0.0"
"1559968200000","0.0"
"1563714000000","0.0"
"1542045600000","0.0"
"1549537200000","0.0"
"1538299800000","0.0"
"1552476600000","0.0"
"1521183600000","1.5"
"1535360400000","0.0"
"1531614600000","1.5"
"1545791400000","0.0"
"1564000200000","0.0"
"1566705600000","0.0"
"1549823400000","3.9"
"1552528800000","2.4"
"1524175200000","0.0"
"1538352000000","0.0"
"1530235800000","0.0"
"1544412600000","0.0"
"1535646600000","0.0"
"1532941200000","0.0"
"1564806600000","0.0"
"1567512000000","0.0"
"1547924400000","2.4"
"1550629800000","2.7"
"1553335200000","0.0"
"1562101200000","0.0"
"1536453000000","0.0"
"1522276200000","0.0"
"1539158400000","0.0"
"1531042200000","0.0"
"1533747600000","0.0"
"1524981600000","0.0"
"1559682000000","0.0"
"1548210600000","0.0"
"1556976600000","0.0"
"1528623000000","0.0"
"1550916000000","0.0"
"1519857000000","0.0"
"1522562400000","0.0"
"1517151600000","0.0"
"1531328400000","0.0"
"1536739200000","0.0"
"1545505200000","0.0"
"1534033800000","0.0"
"1542799800000","0.0"
"1557783000000","0.0"
"1565899200000","0.0"
"1546311600000","0.0"
"1549017000000","0.0"
"1551722400000","0.0"
"1515252600000","1.2"
"1517958000000","0.0"
"1529429400000","0.0"
"1532134800000","0.0"
"1537545600000","0.0"
"1543606200000","0.0"
"1534840200000","0.0"
"1549303200000","0.0"
"1558069200000","0.0"
"1529715600000","0.0"
"1547638200000","0.0"
"1572246000000","0.0"
"1553049000000","0.0"
"1561815000000","0.0"
"1563480000000","0.0"
"1538872200000","0.0"
"1533461400000","0.3"
"1519284600000","0.0"
"1520949600000","0.0"
"1535126400000","2.7"
"1524695400000","0.9"
"1543892400000","1.2"
"1550109600000","0.0"
"1558875600000","0.0"
"1548444600000","0.0"
"1553855400000","0.0"
"1539678600000","0.0"
"1534267800000","2.1"
"1520091000000","0.0"
"1521756000000","0.0"
"1530522000000","0.0"
"1544698800000","0.9"
"1535932800000","2.7"
"1542279600000","0.0"
"1561867200000","0.0"
"1547690400000","0.0"
"1565613000000","0.0"
"1551436200000","0.0"
"1528102800000","0.0"
"1560202200000","0.0"
"1537259400000","0.0"
"1546025400000","0.0"
"1533513600000","0.0"
"1523082600000","0.3"
"1531848600000","0.0"
"1562673600000","0.0"
"1548496800000","0.0"
"1546831800000","0.0"
"1571439600000","0.0"
"1528909200000","4.2"
"1552242600000","0.0"
"1561008600000","0.0"
"1520143200000","0.0"
"1538065800000","0.0"
"1534320000000","1.2"
"1523889000000","0.0"
"1532655000000","0.9"
"1523759400000","3.0"
"1548808200000","0.0"
"1537961400000","0.0"
"1548133200000","0.0"
"1548158400000","3.6"
"1559604600000","0.0"
"1526490000000","1.2"
"1558173600000","0.0"
"1568995200000","0.6"
