"ts","value"
"1523784600000","0.0"
"1551488400000","0.0"
"1540666800000","1.5"
"1562335200000","2.4"
"1543996800000","0.9"
"1533981600000","0.3"
"1555468200000","0.0"
"1552138200000","2.7"
"1534606200000","0.9"
"1541473200000","0.0"
"1516449600000","0.9"
"1527921000000","2.7"
"1552294800000","0.0"
"1563141600000","1.2"
"1544803200000","2.1"
"1524591000000","2.7"
"1546259400000","0.0"
"1563766200000","4.5"
"1534788000000","3.3"
"1523941200000","0.0"
"1556274600000","2.7"
"1535412600000","2.7"
"1552944600000","3.3"
"1549875600000","2.7"
"1539054000000","2.4"
"1532993400000","0.9"
"1561347000000","2.1"
"1521522000000","0.6"
"1532368800000","1.2"
"1567407600000","2.7"
"1515486600000","0.9"
"1543840200000","2.7"
"1570737600000","3.9"
"1526308200000","0.0"
"1550525400000","0.0"
"1550682000000","1.8"
"1522978200000","0.0"
"1533799800000","1.5"
"1539860400000","0.9"
"1543190400000","1.2"
"1533175200000","0.9"
"1554661800000","0.6"
"1544646600000","2.1"
"1568214000000","3.0"
"1527114600000","2.4"
"1551331800000","1.5"
"1571544000000","0.6"
"1555363800000","2.1"
"1519909200000","3.0"
"1527010200000","2.4"
"1530340200000","3.0"
"1537441200000","0.6"
"1559109600000","2.7"
"1541577600000","2.1"
"1537831800000","0.0"
"1530756000000","0.3"
"1520325000000","0.3"
"1548262800000","0.3"
"1549069200000","2.7"
"1556170200000","0.0"
"1520715600000","2.7"
"1527816600000","0.9"
"1538247600000","1.5"
"1531146600000","1.5"
"1559916000000","0.6"
"1548678600000","3.0"
"1566601200000","0.6"
"1569931200000","2.1"
"1538638200000","0.0"
"1559500200000","0.9"
"1531562400000","0.0"
"1528727400000","0.9"
"1535828400000","0.0"
"1525397400000","2.1"
"1547065800000","6.9"
"1564572600000","2.4"
"1539964800000","1.8"
"1557081000000","0.6"
"1536219000000","0.6"
"1529143200000","0.3"
"1553751000000","2.4"
"1564182000000","0.0"
"1558303200000","0.6"
"1529533800000","1.5"
"1536634800000","0.6"
"1547872200000","2.7"
"1565379000000","2.4"
"1540771200000","1.8"
"1519518600000","0.0"
"1529949600000","0.0"
"1547456400000","0.6"
"1554557400000","2.1"
"1537025400000","2.7"
"1533565800000","0.0"
"1528155000000","0.0"
"1516683600000","2.1"
"1522744200000","1.5"
"1545037200000","2.7"
"1539626400000","0.0"
"1534215600000","0.0"
"1567980000000","2.7"
"1562569200000","2.7"
"1551097800000","0.6"
"1556508600000","2.1"
"1550448000000","2.1"
"1534372200000","0.0"
"1528961400000","0.0"
